WKT;project_id;name;city;energy;type_solar_id;status_project_id;developer_id;wind_model_id
POINT (2.06558581566384 42.4690509959589);83;Centrale thermodynamique 1aire e concentration Gee-Lloeg;NULL;SOLAR;1;NULL;;NULL
POINT (2.34354216871655 43.580919459583);84;Noailhac_01;NULL;SOLAR;1;NULL;35;NULL
POINT (2.76202504720905 43.8313097212001);85;Belmont sur Rance;NULL;SOLAR;1;NULL;;NULL
POINT (0.509444735280112 43.1682181112328);86;Lecussan_01;NULL;SOLAR;1;NULL;;NULL
POINT (2.40467586415942 43.2194812010204);87;Les PLos;NULL;SOLAR;1;NULL;36;NULL
POINT (2.36959430021298 43.2851978095589);88;Conques-Villeraze;NULL;SOLAR;1;NULL;36;NULL
POINT (4.64157679358281 43.7816812927908);89;Centrale photovoltaeque de Beaucaire Matagot;NULL;SOLAR;1;NULL;35;NULL
POINT (2.37559175188094 43.3075718096934);90;Salsigne-Russec;NULL;SOLAR;1;NULL;35;NULL
POINT (2.89275734924386 43.2993535156869);91;Ginestas-Garrigue;NULL;SOLAR;1;NULL;187;NULL
POINT (3.10800896273108 44.025451228613);92;Lapanouse de Cernon_01_PC;NULL;SOLAR;1;NULL;187;NULL
POINT (3.1110860921835 44.0242155002811);93;Lapanouse de Cernon_01_DPr;NULL;SOLAR;1;NULL;187;NULL
POINT (2.89388805577853 43.300166060616);94;Ginestas-Souterranne;NULL;SOLAR;1;NULL;187;NULL
POINT (2.91796891828961 43.2871524736551);95;Salleles-d'Aude;NULL;SOLAR;1;NULL;187;NULL
POINT (5.10373027300805 45.8283093208945);96;BALAN TRIZE PV;NULL;SOLAR;1;NULL;188;NULL
POINT (1.74992059532854 45.9419569836996);97;BOURGANEUF PV;NULL;SOLAR;1;NULL;188;NULL
POINT (6.03825890389564 44.5613627358758);98;GAP PV;NULL;SOLAR;1;NULL;;NULL
POINT (3.13041793028912 44.0159093974177);99;CS des CLAPAS;NULL;SOLAR;1;NULL;;NULL
POINT (2.86780322505593 42.7418490571309);100;3s photovoltaiques parking aeroport PERPIGNAN;NULL;SOLAR;3;NULL;189;NULL
POINT (0.043784385451985 43.2332842437194);101;Parking Eden Auto;NULL;SOLAR;3;NULL;189;NULL
POINT (2.04240870165617 44.5378265809765);102;Causse-et-Diege;NULL;SOLAR;1;NULL;;NULL
POINT (0.62607991702092 43.7402361206985);103;ROQUELAURE_ZA_du_longard_01;NULL;SOLAR;1;NULL;;NULL
POINT (0.18525310102704 43.9516116683235);104;MONTREAL_DU_GERS_A_Macon_01;NULL;SOLAR;1;NULL;;NULL
POINT (0.434045883396205 43.5177232236089);105;MIRANDE_Sandarouy_01;NULL;SOLAR;1;NULL;;NULL
POINT (3.02283026369978 42.7309428083145);106;Installetion de 2 3s photovoltaiques;NULL;SOLAR;3;NULL;;NULL
POINT (2.09461631331882 43.2145773797539);107;Montreal-Rouffiac;NULL;SOLAR;1;NULL;;NULL
POINT (2.92972409667075 42.5466441387627);108;;NULL;SOLAR;NULL;NULL;;NULL
POINT (2.29477119775817 44.1759206826155);109;Cabanes_2_3;NULL;SOLAR;1;NULL;;NULL
POINT (2.29300531652856 44.1791111978728);110;Cabanes_3_3;NULL;SOLAR;1;NULL;;NULL
POINT (2.29491236180269 44.1772015260535);111;Cabanes_1_3;NULL;SOLAR;1;NULL;;NULL
POINT (1.44170150595819 44.0894549843934);112;Albias_La-Rouarde_Casse-Auto;NULL;SOLAR;3;NULL;;NULL
POINT (2.14042896554132 44.0313614997223);113;Blaye-les-Mines_PROJET-DU-LAVOIR_02;NULL;SOLAR;1;NULL;;NULL
POINT (2.14558792724794 44.0369686832087);114;Blaye-les-Mines_PROJET-DU-LAVOIR_03;NULL;SOLAR;1;NULL;;NULL
POINT (2.14869048701055 44.0305183551658);115;Blaye-les-Mines_PROJET-DU-LAVOIR_01;NULL;SOLAR;1;NULL;;NULL
POINT (1.36609295389151 43.639417876996);116;3s P5;NULL;SOLAR;3;NULL;;NULL
POINT (2.14422288771369 44.0556286868367);117;Carmaux_ZoneDeLaCokerie_02;NULL;SOLAR;1;NULL;;NULL
POINT (2.14052433900892 44.0572313288338);118;SaintBenoitDeCarmaux_ZoneDeLaCokerie_02;NULL;SOLAR;1;NULL;;NULL
POINT (1.20344919535006 43.5589009272667);119;Fontenilles_02;NULL;SOLAR;1;NULL;190;NULL
POINT (2.96659065148244 42.6332909878457);120;Construction de 12 2s photovoltaeques;NULL;SOLAR;2;NULL;;NULL
POINT (2.38687601687488 43.3113629777621);121;Limousis-Combe;NULL;SOLAR;1;NULL;191;NULL
POINT (3.1454473648009 43.4127097710774);122;les espinasses;NULL;SOLAR;1;NULL;192;NULL
POINT (2.93269756958447 43.0223332367862);123;Roquefort-Brugassa;NULL;SOLAR;1;NULL;192;NULL
POINT (1.59732629441573 44.6970734967872);124;Montfaucon_01;NULL;SOLAR;1;NULL;192;NULL
POINT (1.26198967386148 43.3760732766832);125;Lavernose-lacasse_02;NULL;SOLAR;1;NULL;192;NULL
POINT (2.93255472729973 43.0222528058579);126;Roquefort-Brugassa;NULL;SOLAR;1;NULL;192;NULL
POINT (0.920379284532963 44.7750963705911);127;Bouillac 1ar;NULL;SOLAR;1;NULL;192;NULL
POINT (3.72639390303492 43.6307064782096);128;Garrigue de Tamareau;NULL;SOLAR;1;NULL;192;NULL
POINT (3.72639390262345 43.6307064780289);129;Montarnaud - Garrigue de Tamareau;NULL;SOLAR;NULL;NULL;192;NULL
POINT (1.13712376438284 43.3530066755116);130;Labastide-Clermont_01;NULL;SOLAR;1;NULL;193;NULL
POINT (1.13572288044275 43.3526786973694);131;Labastide-Clermont_02;NULL;SOLAR;1;NULL;193;NULL
POINT (1.68307603486507 44.1979497491934);132;Lavaurette_Les_Sanguinettes_Taillos_01;NULL;SOLAR;1;NULL;193;NULL
POINT (0.622076844841667 43.6076734752025);133;PAVIE_01;NULL;SOLAR;1;NULL;193;NULL
POINT (0.665729430512873 43.6373376266908);134;MONTEGUT_Planes_de_Montousse_01;NULL;SOLAR;1;NULL;193;NULL
POINT (0.777217739516844 43.8143624325326);135;BAJONNETTE_A_Laoueille_01;NULL;SOLAR;1;NULL;193;NULL
POINT (2.23330663839668 42.9745380466666);136;Antugnac;NULL;SOLAR;1;NULL;193;NULL
POINT (2.83511304021463 42.599905484799);137;2s agricoles avec couverture photovoltaeque;NULL;SOLAR;2;NULL;;NULL
POINT (2.81138566593214 42.6625440593258);138;"2s agricoles PV
Arboriculture et fruits rouges";NULL;SOLAR;2;NULL;;NULL
POINT (2.72830952318562 42.6514863005464);139;2s agricoles avec couverture photovoltaeque;NULL;SOLAR;2;NULL;;NULL
POINT (2.9927219145988 42.7873722509292);140;construction de 2s agricole photovoltaeques;NULL;SOLAR;2;NULL;;NULL
POINT (2.96470452807572 42.6349875104257);141;construction d'une 2 agricole photovoltaeque;NULL;SOLAR;2;NULL;;NULL
POINT (2.71653933607847 42.6572221181505);142;;NULL;SOLAR;NULL;NULL;;NULL
POINT (2.72961295829618 42.6514501804821);143;2s agricoles avec couverture photovoltaeque;NULL;SOLAR;2;NULL;;NULL
POINT (2.71830002494484 42.6703996867728);144;construction d'une 2 agricole photovoltaeque;NULL;SOLAR;2;NULL;;NULL
POINT (2.96357262267035 42.8115260906126);145;construction d'une 2 agricole photovoltaeque;NULL;SOLAR;2;NULL;;NULL
POINT (2.77984516915727 42.783917788592);146;"2s agricoles PV
Raisins de table";NULL;SOLAR;2;NULL;;NULL
POINT (3.0008602057939 42.5976501448353);147;construction de 2s agricoles photovoltaeques;NULL;SOLAR;3;NULL;;NULL
POINT (2.80375357529496 42.7031784755065);148;19 2s agricoles;NULL;SOLAR;2;NULL;;NULL
POINT (2.98558232234004 42.5945760703987);149;construction d'une 2 agricole photovoltaeque;NULL;SOLAR;2;NULL;;NULL
POINT (2.95350088872936 42.7362718392664);150;Realisation de 2s agricoles couvertes de panneaux photovoltaeques;NULL;SOLAR;2;NULL;;NULL
POINT (2.9726468851099 42.6319748142374);151;Pare vent pare grele en panneaux photovoltaeques;NULL;SOLAR;NULL;NULL;;NULL
POINT (2.97595253450751 42.6308655481722);152;construction de 2s agricoles photovoltaeques;NULL;SOLAR;2;NULL;;NULL
POINT (2.37182645485392 43.8199653988828);153;MontRoc_BoisDesVergnes_01;NULL;SOLAR;1;NULL;48;NULL
POINT (2.42480613958548 43.8257676471099);154;Rayssac_DeLaPialade_01;NULL;SOLAR;1;NULL;48;NULL
POINT (3.56883028427191 43.5248146901685);155;Cantagals;NULL;SOLAR;1;NULL;48;NULL
POINT (3.56848951614989 43.5246462759381);156;Cantagals;NULL;SOLAR;NULL;NULL;48;NULL
POINT (2.42269361126276 44.8949044464098);157;Aeroport;NULL;SOLAR;NULL;NULL;48;NULL
POINT (2.92299778215945 43.2588040671331);158;Saint-Marcel-Ple;NULL;SOLAR;1;NULL;48;NULL
POINT (2.97918745237655 43.2067166961598);159;Narbonne-Malvezy;NULL;SOLAR;1;NULL;48;NULL
POINT (2.35730418902891 43.3009451596117);160;Conques-PlaineCocaliere;NULL;SOLAR;1;NULL;48;NULL
POINT (1.42987353602002 44.0803544868182);161;Albias_Loyle-Gatille-Bournets_01;NULL;SOLAR;1;NULL;48;NULL
POINT (1.28329323586348 43.1402401720021);162;Daumazan_DesPlagnes_01;NULL;SOLAR;1;NULL;48;NULL
POINT (4.30341145132477 46.9861016833747);163;71_R010_Saint_Forgeot;NULL;SOLAR;1;NULL;48;NULL
POINT (5.36875002503619 46.2066796901814);164;Centrale photovoltaeque de Drom;NULL;SOLAR;1;NULL;48;NULL
POINT (2.82071413928666 46.3334740569482);165;03_R009_Montvicq;NULL;SOLAR;1;NULL;48;NULL
POINT (2.52606852231486 46.3285885592338);166;03_236_Quinssaines_2;NULL;SOLAR;1;NULL;48;NULL
POINT (4.47138485931691 46.7556012677613);167;71_272_Montchanin;NULL;SOLAR;1;NULL;48;NULL
POINT (6.17240276410253 44.4596066962742);168;CENTRALE PHOTOVOLTAeQUE DE ROCHEBRUNE;NULL;SOLAR;1;NULL;48;NULL
POINT (-0.07982899975891 47.2397309665795);169;Centrale photovoltaeque de Saumur;NULL;SOLAR;1;NULL;48;NULL
POINT (-1.07832723670591 46.9089821190274);170;Centrale photovoltaeque au 1 de Beaurepaire;NULL;SOLAR;1;NULL;48;NULL
POINT (6.68448620450532 49.163882087697);171;57_Porcelette2;NULL;SOLAR;1;NULL;48;NULL
POINT (2.88448952136434 47.3387292836606);172;58_241_Tracy-surLoire;NULL;SOLAR;1;NULL;48;NULL
POINT (5.37566033379892 46.0610606118401);173;01_183_Neuville sur-Ain;NULL;SOLAR;1;NULL;48;NULL
POINT (1.34190008554435 46.3278444275612);174;Centrale photovoltaeque de Mailhacsur-Benaize;NULL;SOLAR;1;NULL;48;NULL
POINT (2.54095111722321 46.7262054656361);175;Centrale photovoltaeque de Saint Amand-Montrond;NULL;SOLAR;1;NULL;48;NULL
POINT (4.74453948403055 47.102133659838);176;Col de Bessey;NULL;SOLAR;1;NULL;48;NULL
POINT (5.29196127958328 45.8661419181525);177;Centrale photovoltaeque de Sainte Julie;NULL;SOLAR;1;NULL;48;NULL
POINT (4.22188204275299 45.0335679075139);178;Centrale photovoltaeque du MazetSaint-Voy;NULL;SOLAR;1;NULL;48;NULL
POINT (2.52720780021605 46.3264690656259);179;03_236_Quinssaines;NULL;SOLAR;1;NULL;48;NULL
POINT (3.01998777909628 47.2011838593295);180;58_222_LaCharite;NULL;SOLAR;1;NULL;48;NULL
POINT (3.87934598007148 47.6605527716146);181;Centrale photovoltaeque de Nitry;NULL;SOLAR;1;NULL;48;NULL
POINT (1.33583935740205 46.2092266173488);182;Centrale photovoltaeque de Saint Sornin Leulac;NULL;SOLAR;1;NULL;48;NULL
POINT (0.653089229415242 43.6607226683039);183;32-249 ﾖ LEBOULIN;NULL;SOLAR;1;NULL;48;NULL
POINT (2.53929542278859 46.3311439456796);184;03_226 Premilhat;NULL;SOLAR;1;NULL;48;NULL
POINT (2.72337995488615 46.3153736153313);185;03_217_Chamblet 2;NULL;SOLAR;1;NULL;48;NULL
POINT (4.51828407857415 46.9824174533997);186;Centrale Photovoltaeque d'EPINAC;NULL;SOLAR;1;NULL;48;NULL
POINT (5.78763788683054 43.7757712691789);187;Centrale photovoltaeque du Moulin;NULL;SOLAR;1;NULL;48;NULL
POINT (5.11595294281095 43.6339118655887);188;Centrale photovoltaeque de Salon-de-Provence;NULL;SOLAR;1;NULL;48;NULL
POINT (0.663061999426023 46.4555530003936);189;Centrale photovoltaeque au 1 de Civaux;NULL;SOLAR;1;NULL;48;NULL
POINT (1.42996910566306 43.7987426023651);190;Bouloc_01;NULL;SOLAR;1;NULL;48;NULL
POINT (1.27456690563514 43.9003987588522);191;Bessens_Gageac_Platard_ancien_aerodrome_01;NULL;SOLAR;1;NULL;;NULL
POINT (2.65345226086506 44.3663127827418);192;La Loubiere_Pessens;NULL;SOLAR;1;NULL;;NULL
POINT (1.86239007820364 43.4082536309854);193;Saint-Paulet Gasquet;NULL;SOLAR;1;NULL;194;NULL
POINT (2.00069037870626 43.396735197668);194;Labecede-Capellanie;NULL;SOLAR;1;NULL;194;NULL
POINT (1.85241727450914 43.0664646758288);195;Besset_Mazeroles_01;NULL;SOLAR;1;NULL;194;NULL
POINT (2.9919444093255 43.2100935493644);196;1eil Participatif du Narbonnais;NULL;SOLAR;1;NULL;;NULL
POINT (2.18028895147824 44.4436131183563);197;Vaureilles;NULL;SOLAR;1;NULL;195;NULL
POINT (0.417827859880489 43.1232935383262);198;UGLAS_01;NULL;SOLAR;1;NULL;195;NULL
POINT (2.40939438021435 43.3093926357542);199;Salleles-Cabardes-PechHaut;NULL;SOLAR;1;NULL;195;NULL
POINT (2.5966240142719 42.6950432870461);200;Creation d'une unite de production photovoltaiqueLieux-dits Pilo d?en Gil, El Pal, Cami de Caramany, Rabequet del Mig, Rabequet;NULL;SOLAR;1;NULL;195;NULL
POINT (2.97146930031425 44.0137807931096);201;Saint-Rome de Cernon_01_PC1r;NULL;SOLAR;1;NULL;103;NULL
POINT (3.06464870373681 44.0271799503548);202;La Bastide-Pradines_delaisseA75;NULL;SOLAR;1;NULL;103;NULL
POINT (2.4944708775144 43.1011948080195);203;Arquettes-Pommiers;NULL;SOLAR;1;NULL;196;NULL
POINT (2.61554529535867 43.246444625941);204;L'Estagnol;NULL;SOLAR;1;NULL;196;NULL
POINT (2.54136368769911 43.1833218288059);205;Capendu-Sieges;NULL;SOLAR;1;NULL;196;NULL
POINT (2.47091329559644 43.1882109444479);206;Fonties-d'Aude-Baqueiro;NULL;SOLAR;1;NULL;196;NULL
POINT (2.4832861445476 43.2097732648279);207;Rustiques;NULL;SOLAR;1;NULL;196;NULL
POINT (2.65872711193509 43.2135967744532);208;Roquecourbe-LesDeves;NULL;SOLAR;1;NULL;196;NULL
POINT (2.59059356723831 44.1940779431769);209;Salmiech;NULL;SOLAR;1;NULL;196;NULL
POINT (0.624275778075701 43.7397737825701);210;ROQUELAURE_Au_Longard_01;NULL;SOLAR;1;NULL;196;NULL
POINT (2.6259490204691 43.2509529995197);211;La Redorte-Estagnol;NULL;SOLAR;1;NULL;196;NULL
POINT (2.08944561968588 43.2434781093216);212;Bram-Rouzilles;NULL;SOLAR;1;NULL;196;NULL
POINT (3.751963906091 43.5702175952195);213;PV des Molieres;NULL;SOLAR;1;NULL;197;NULL
POINT (3.69875772906745 43.5543028851421);214;La Billere;NULL;SOLAR;1;NULL;197;NULL
POINT (3.7519639066028 43.5702175955487);215;PV des Molieres;NULL;SOLAR;NULL;NULL;197;NULL
